Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Viceroy ,1304,2014,5551,6.79448,6.44292,1.29105,2.6404,228,13240,0,2,4,3,3.0,95,Strategy ,758,6.51264,"Auction: Sealed Bid
Hand Management
Memory
Open Drafting
Set Collection
Tile Placement
",$24.26,,,,,,
"The Hunters: German U-Boats at War, 1939-43 ",1305,2013,1726,7.72724,6.4424,1.45832,2.5429,175,4868,1,1,1,1,1.0,61,War ,74,7.28767,"Dice Rolling
Paper-and-Pencil
Push Your Luck
Simulation
Solo / Solitaire Game
",Unknown,,,,,,
Coloma ,1306,2019,2033,7.36578,6.44202,1.19628,2.961,77,4403,0,1,6,4,4.0,53,Strategy ,674,6.59749,"End Game Bonuses
Hand Management
Rondel
Simultaneous Action Selection
Solo / Solitaire Game
Variable Phase Order
",Unknown,,,,,,
Sherlock Holmes Consulting Detective: The Baker Street Irregulars ,1307,2020,1050,8.32916,6.44107,1.31408,2.2222,18,2842,0,1,3,2,2.0,23,Thematic,190,6.83184,"Cooperative Game
Narrative Choice / Paragraph
Storytelling
",Unknown,,,,,,
Keythedral ,1308,2002,3007,7.04767,6.44073,1.21373,2.852,392,4804,2,2,5,4,4.0,52,Strategy ,696,6.57138,"Auction/Bidding
Modular Board
Set Collection
Tile Placement
Worker Placement
",Unknown,,,,,,
Qwinto ,1309,2015,3351,7.00266,6.43954,1.08542,1.3222,90,34770,1,2,5,3,4.0,38,Family ,347,6.56411,"Dice Rolling
Paper-and-Pencil
Pattern Building
",Unknown,,,,,,
Bad Company ,1310,2021,2096,7.35429,6.43948,1.16014,1.9149,47,6891,0,1,6,3,4.0,50,Family ,311,6.61881,"Contracts
Dice Rolling
Random Production
Re-rolling and Locking
Set Collection
Solo / Solitaire Game
",$57.19,,,,,,
Ghost Blitz ,1311,2010,8878,6.71024,6.43881,1.34465,1.145,338,32751,10,2,7,4,5.0,84,Family ,403,6.49099,"Pattern Recognition
Speed Matching
",$20.34,,,,,,
Timeline: Inventions ,1312,2010,8202,6.69508,6.43865,1.17763,1.0979,337,32644,1,2,8,4,4.0,77,Family ,399,6.49623,,$13.99,,,,,,
Trains: Rising Sun ,1313,2014,1856,7.43103,6.43762,1.2435,2.4355,62,3901,1,2,4,4,4.0,16,Strategy ,660,6.60938,"Deck, Bag, and Pool Building
Hand Management
Network and Route Building
",Unknown,,,,,,
