Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
StarCraft: The Board Game ,2007,7467,7.34882,6.88723,1.58609,3.8494,797,10415,2,6,4,4,224
Akropolis ,2022,4569,7.53767,6.88708,1.12373,1.7699,113,32541,2,4,3,3,82
Imperium: Legends ,2021,3043,7.86419,6.88688,1.39533,3.7097,124,6543,1,2,1,2,112
Baseball Highlights: 2045 ,2015,4443,7.52125,6.88649,1.37514,2.1961,153,22093,1,2,2,2,100
Las Vegas ,2012,10943,7.15572,6.88604,1.22756,1.1763,431,79226,3,5,4,4,168
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set ,2013,12633,7.17686,6.8848,1.59061,2.7151,716,85676,1,4,3,4,263
Caper: Europe ,2022,3148,7.77875,6.88332,1.15869,2.1176,68,11601,2,2,2,2,39
Colosseum ,2007,8887,7.20994,6.88214,1.25693,2.756,746,17207,3,5,5,5,130
Libertalia: Winds of Galecrest ,2022,4676,7.50398,6.88119,1.28981,2.127,126,15098,1,6,4,6,113
Atlantis Rising (Second Edition) ,2019,4046,7.58388,6.88047,1.27831,2.4242,99,8307,1,7,4,4,80
Pax Porfiriana ,2012,3590,7.65884,6.88016,1.59869,3.6353,266,16620,2,5,4,4,124
Through the Desert ,1998,13701,7.091,6.8797,1.22471,2.2024,1408,36189,2,5,3,3,246
The LOOP ,2020,3352,7.77969,6.87908,1.2263,2.7593,108,13915,1,4,2,2,102
Nexus Ops ,2005,8817,7.20816,6.87644,1.25905,2.232,905,20123,2,4,4,4,184
DVONN ,2001,4947,7.45587,6.87598,1.34059,2.6632,386,19248,2,2,2,2,42
The Colonists ,2016,4112,7.56189,6.87572,1.44062,4.0796,226,9955,1,3,2,2,137
Etherfields ,2020,3428,7.98866,6.87402,1.91896,3.497,165,20057,1,3,2,2,133
Broom Service ,2015,9965,7.16948,6.86994,1.25864,2.4039,307,23614,2,5,4,4,194
Carcassonne: Hunters and Gatherers ,2002,12689,7.12905,6.8697,1.24794,1.9219,1088,44401,2,5,2,3,186
AquaSphere ,2014,7268,7.25608,6.86885,1.3318,3.6777,394,15697,2,4,4,4,134
Paperback ,2014,10622,7.13407,6.8688,1.21173,1.9929,282,35685,2,4,2,2,133
QE ,2019,4995,7.40332,6.86815,1.23544,1.5393,89,16186,3,5,5,5,80
Draftosaurus ,2019,12354,7.11545,6.86617,1.12369,1.2548,263,121125,2,5,4,4,161
Zombicide: 2nd Edition ,2021,2974,8.02126,6.86243,1.37875,2.4174,115,12575,1,6,3,3,77
Dice Throne: Season One ,2018,5566,7.52761,6.86184,1.49636,2.0805,87,19718,2,4,2,2,77
Tobago ,2009,11890,7.10052,6.86166,1.18444,2.1275,706,31384,2,4,4,4,199
Triumph & Tragedy: European Balance of Power 1936-1945 ,2015,2234,8.14915,6.85853,1.41349,3.3837,172,5271,3,3,3,3,95
Distilled ,2023,2661,7.99665,6.85614,1.33501,2.9167,156,9321,1,4,3,3,85
Automobile ,2009,5696,7.32873,6.85536,1.39846,3.5277,506,11718,3,5,5,5,143
Evolution ,2014,16200,7.06807,6.85454,1.31714,2.4305,590,39097,2,6,4,4,223
Star Trek: Ascendancy ,2016,3365,7.81817,6.8537,1.49104,3.1524,105,7195,3,3,3,3,77
Unfathomable ,2021,4356,7.57186,6.85344,1.48297,3.0588,136,8166,4,6,5,5,116
Frostpunk: The Board Game ,2022,2196,8.33257,6.85332,1.57576,4.2803,239,6054,1,2,1,2,178
Silver & Gold ,2019,7431,7.22185,6.85289,1.08719,1.1667,132,47178,2,4,3,4,67
Cooper Island ,2019,3697,7.60313,6.85124,1.32787,4.1642,274,10332,1,4,3,3,120
Struggle of Empires ,2004,4168,7.52231,6.851,1.47804,3.5919,544,6241,4,7,5,7,147
Carson City ,2009,7145,7.22375,6.85003,1.3415,3.1831,486,16849,2,5,4,4,143
Coup ,2012,44358,6.98505,6.84965,1.4271,1.4127,1381,250088,3,6,5,5,543
Crusaders: Thy Will Be Done ,2018,4181,7.49086,6.84856,1.13684,2.4496,129,13799,2,4,3,4,63
