Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Perudo ,https://boardgamegeek.com/boardgame/45/perudo,835,1800,15311,6.91672,6.71709,1.41143,1.2544,975,110034,3,3.0,6.0,5.0,6.0,208,15,30,"Betting and Bluffing
Dice Rolling
Player Elimination
",Party,61.0,6.76846,32.99,Family,252.0,6.75227,,,
Celestia ,https://boardgamegeek.com/boardgame/175117/celestia,895,2015,11563,6.94019,6.68413,1.22354,1.3259,270,50267,4,3.0,6.0,5.0,6.0,147,30,30,"Betting and Bluffing
Dice Rolling
Hidden Victory Points
Push Your Luck
",Family,261.0,6.73654,45.97,,,,,,
Lovecraft Letter ,https://boardgamegeek.com/boardgame/198740/lovecraft-letter,925,2017,4879,7.22266,6.6638,1.40649,1.4194,93,28215,0,3.0,6.0,4.0,5.0,80,5,15,"Deduction
Hand Management
Player Elimination
Push Your Luck
Score-and-Reset Game
Take That
",Party,54.0,6.85599,,,,,,,
Spyfall ,https://boardgamegeek.com/boardgame/166384/spyfall,968,2014,21379,6.77074,6.63475,1.43533,1.2368,511,106336,13,4.0,8.0,6.0,6.0,223,15,15,"Acting
Communication Limits
Memory
Role Playing
Roles with Asymmetric Information
Targeted Clues
",Party,75.0,6.67479,23.17,,,,,,
Spicy ,https://boardgamegeek.com/boardgame/299169/spicy,979,2020,5209,7.15707,6.62897,1.33794,1.3495,186,37339,9,3.0,6.0,4.0,5.0,103,15,20,"Betting and Bluffing
Hand Management
",Party,56.0,6.81618,17.83,,,,,,
HITSTER ,https://boardgamegeek.com/boardgame/318243/hitster,988,2022,2315,7.67607,6.62734,1.36104,1.0,52,27035,2,2.0,10.0,4.0,6.0,48,30,30,,Party,34.0,7.02509,81.04,,,,,,
Stella: Dixit Universe ,https://boardgamegeek.com/boardgame/329845/stella-dixit-universe,1009,2021,3506,7.31114,6.61074,1.22425,1.1429,70,18435,9,3.0,6.0,5.0,6.0,48,30,30,"Deduction
Push Your Luck
",Party,42.0,6.96867,31.99,Family,249.0,6.75541,,,
Concept ,https://boardgamegeek.com/boardgame/147151/concept,1021,2013,20322,6.75833,6.60383,1.38925,1.3759,540,52837,18,3.0,12.0,6.0,6.0,157,40,40,"Communication Limits
Team-Based Game
",Party,79.0,6.65289,35.99,,,,,,
5-Minute Dungeon ,https://boardgamegeek.com/boardgame/207830/5-minute-dungeon,1032,2017,10011,6.92789,6.6007,1.35824,1.1186,253,50997,4,2.0,5.0,4.0,5.0,173,5,30,"Cooperative Game
Elapsed Real Time Ending
Hand Management
Move Through Deck
Real-Time
Variable Player Powers
",Family,338.0,6.61871,,,,,,,
Cockroach Poker ,https://boardgamegeek.com/boardgame/11971/cockroach-poker,1041,2004,13802,6.79704,6.5959,1.46654,1.1023,528,63469,6,3.0,6.0,5.0,5.0,184,20,20,"Hand Management
Set Collection
Single Loser Game
",Party,80.0,6.6337,34.43,,,,,,
