Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Category_1,RankCat_1,ScoreCat_1,Category_2,RankCat_2,ScoreCat_2,AmazonPrice
Sherlock Holmes Consulting Detective: The Baker Street Irregulars ,https://boardgamegeek.com/boardgame/296345/sherlock-holmes-consulting-detective-baker-street,1250,2020,1156,8.28088,6.47617,1.33953,2.3043,23,3160,0,1,4,2,2,27,90,90,"Cooperative Game
Narrative Choice / Paragraph
Storytelling
",Thematic,186,6.85923,,,,Unknown
Odin's Ravens (Second Edition) ,https://boardgamegeek.com/boardgame/192074/odins-ravens-second-edition,1251,2016,3992,7.00801,6.47388,1.14781,1.1961,102,13475,2,2,2,2,2,33,15,30,"Hand Management
Race
Track Movement
",Family ,348,6.5756,,,,Unknown
1862: Railway Mania in the Eastern Counties ,https://boardgamegeek.com/boardgame/66837/1862-railway-mania-eastern-counties,1252,2013,1122,8.23423,6.47259,1.40425,4.6277,94,5218,0,1,6,4,4,57,120,300,"Auction/Bidding
Market
Network and Route Building
Ownership
Stock Holding
Tile Placement
",Strategy ,584,6.71384,,,,$71.97 
Princes of the Renaissance ,https://boardgamegeek.com/boardgame/8045/princes-renaissance,1253,2003,2321,7.31737,6.47088,1.48956,3.5083,242,3349,1,4,6,5,5,55,180,180,"Area Majority / Influence
Auction/Bidding
Dice Rolling
Variable Player Powers
",Strategy ,659,6.6294,,,,$49.99 
The Initiative ,https://boardgamegeek.com/boardgame/328908/initiative,1254,2021,1949,7.58147,6.47076,1.384,2,54,17548,2,2,4,2,2,55,30,60,"Area Movement
Cooperative Game
Deduction
Scenario / Mission / Campaign Game
Variable Player Powers
",Thematic,221,6.77845,Family ,302,6.64419,$51.01 
Castle Panic ,https://boardgamegeek.com/boardgame/43443/castle-panic,1255,2009,16025,6.64901,6.47009,1.30883,1.6542,720,44512,2,1,6,4,4,179,30,60,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Semi-Cooperative Game
Solo / Solitaire Game
",Family ,418,6.484,,,,$34.95 
GIPF ,https://boardgamegeek.com/boardgame/527/gipf,1256,1996,3275,7.09222,6.46994,1.33506,2.7822,225,10047,2,2,2,2,2,37,30,60,"Grid Movement
Pattern Building
",Abstract ,39,6.91244,,,,$39.99 
Lockup: A Roll Player Tale ,https://boardgamegeek.com/boardgame/240855/lockup-roll-player-tale,1257,2019,2265,7.36381,6.47093,1.2098,2.4,50,5883,1,1,5,3,4,69,45,90,"Area Majority / Influence
Auction Compensation
Auction: Multiple Lot
Secret Unit Deployment
Set Collection
Worker Placement
",Strategy ,669,6.6169,,,,$48.37 
Paris ,https://boardgamegeek.com/boardgame/282954/paris,1258,2020,2607,7.25517,6.4698,1.24738,2.7711,83,5757,0,2,4,4,4,60,90,90,"Area Majority / Influence
End Game Bonuses
Hand Management
Income
Modular Board
Set Collection
",Strategy ,680,6.60438,Family ,315,6.62631,$109.99 
Manoeuvre ,https://boardgamegeek.com/boardgame/17396/manoeuvre,1259,2008,2453,7.28806,6.46947,1.39583,2.1096,292,7589,6,2,2,2,2,51,60,60,"Campaign / Battle Card Driven
Dice Rolling
Grid Movement
Hand Management
Modular Board
Square Grid
",War ,142,7.03536,,,,Unknown
Werewords Deluxe Edition ,https://boardgamegeek.com/boardgame/245422/werewords-deluxe-edition,1260,2018,1865,7.54227,6.4699,1.31498,1.3077,26,19778,1,4,12,6,6,15,10,10,"Hidden Roles
Traitor Game
Variable Player Powers
Voting
",Party ,33,7.01964,,,,$25.42 
Kraftwagen ,https://boardgamegeek.com/boardgame/171879/kraftwagen,1261,2015,2572,7.22773,6.46915,1.16714,2.8276,116,6726,1,2,4,4,4,53,75,75,"Rondel
Set Collection
Turn Order: Time Track
Worker Placement
",Strategy ,670,6.61642,,,,Unknown
Council of 4 ,https://boardgamegeek.com/boardgame/173101/council-4,1262,2015,2971,7.13811,6.46774,1.2391,2.625,96,6728,0,2,4,3,4,67,40,75,"Hand Management
Network and Route Building
Point to Point Movement
",Strategy ,693,6.59332,,,,Unknown
Mythos Tales ,https://boardgamegeek.com/boardgame/126100/mythos-tales,1263,2016,2347,7.35443,6.46614,1.39482,2.119,42,7011,0,1,5,2,3,39,60,120,"Cooperative Game
Solo / Solitaire Game
Storytelling
",Thematic,226,6.765,,,,Unknown
Bad Company ,https://boardgamegeek.com/boardgame/340677/bad-company,1264,2021,2362,7.33045,6.46827,1.15568,1.9216,51,7783,0,1,6,3,4,54,30,30,"Area Majority / Influence
Contracts
Dice Rolling
Random Production
Re-rolling and Locking
Set Collection
",Family ,308,6.63872,,,,$49.99 
Maximum Apocalypse ,https://boardgamegeek.com/boardgame/188547/maximum-apocalypse,1265,2018,2237,7.51946,6.467,1.34861,2.1176,68,8235,0,1,5,4,4,62,45,90,"Action Points
Campaign / Battle Card Driven
Cooperative Game
Hand Management
Modular Board
Pick-up and Deliver
",Thematic,236,6.74641,,,,Unknown
Dungeon Fighter ,https://boardgamegeek.com/boardgame/102548/dungeon-fighter,1266,2011,6731,6.81066,6.46553,1.46332,1.7536,280,16249,1,2,6,3,4,88,45,60,"Cooperative Game
Dice Rolling
Modular Board
Open Drafting
Point to Point Movement
Turn Order: Progressive
",Party ,88,6.57158,,,,$29.50 
Ponzi Scheme ,https://boardgamegeek.com/boardgame/180899/ponzi-scheme,1267,2015,2899,7.14664,6.46563,1.36756,2.4242,66,7134,2,3,5,4,4,38,60,90,"Loans
Set Collection
Trading
",Strategy ,688,6.59649,,,,Unknown
Level 7 [Omega Protocol] ,https://boardgamegeek.com/boardgame/137649/level-7-omega-protocol,1268,2013,2137,7.42898,6.46399,1.39173,3.1818,110,2771,0,2,6,5,5,57,60,90,"Action Points
Dice Rolling
Grid Movement
Modular Board
Player Elimination
Scenario / Mission / Campaign Game
",Thematic,217,6.78073,Strategy ,692,6.59333,Unknown
Vikings Gone Wild ,https://boardgamegeek.com/boardgame/187377/vikings-gone-wild,1269,2017,3655,7.11516,6.46289,1.33544,2.2419,62,8182,0,2,4,3,3,51,45,90,"Deck, Bag, and Pool Building
Hand Management
",Strategy ,745,6.54055,,,,Unknown
Blokus Duo ,https://boardgamegeek.com/boardgame/16395/blokus-duo,1270,2005,5715,6.82279,6.46144,1.21546,1.6861,446,26794,4,2,2,2,2,61,15,15,"Enclosure
Grid Coverage
Square Grid
Tile Placement
",Abstract ,61,6.70952,,,,$16.99 
Floriferous ,https://boardgamegeek.com/boardgame/322622/floriferous,1271,2021,1896,7.52014,6.46214,1.07198,1.65,40,10459,0,1,4,3,3,31,20,30,"Open Drafting
Set Collection
Solo / Solitaire Game
Turn Order: Stat-Based
",Family ,290,6.65675,,,,$25.03 
Vagrantsong ,https://boardgamegeek.com/boardgame/340325/vagrantsong,1272,2022,1840,7.61867,6.4614,1.44413,3.2055,73,7265,1,1,3,2,2,51,45,120,"Action Points
Cooperative Game
Dice Rolling
Events
Grid Movement
Narrative Choice / Paragraph
",Thematic,201,6.80928,Strategy ,672,6.61455,$53.06 
Hamburgum ,https://boardgamegeek.com/boardgame/30381/hamburgum,1273,2007,3242,7.05453,6.46106,1.19166,3.0747,375,5291,3,2,5,4,4,64,75,75,"Rondel
Set Collection
",Strategy ,700,6.58754,,,,Unknown
Fleet ,https://boardgamegeek.com/boardgame/121297/fleet,1274,2012,5222,6.84439,6.46119,1.27773,2.2439,246,19226,1,2,4,4,4,80,30,45,"Auction: Turn Order Until Pass
Auction/Bidding
Hand Management
Multi-Use Cards
Victory Points as a Resource
",Strategy ,742,6.54222,,,,Unknown
New York 1901 ,https://boardgamegeek.com/boardgame/174660/new-york-1901,1275,2015,6276,6.79498,6.45984,1.17864,2.0472,212,13431,7,2,4,4,4,75,30,60,"Area Majority / Influence
Once-Per-Game Abilities
Open Drafting
Tile Placement
",Family ,374,6.54009,,,,$37.78 
Resist! ,https://boardgamegeek.com/boardgame/352697/resist,1276,2022,1783,7.62457,6.4606,1.19794,2.1538,65,7767,4,1,1,1,1,38,20,40,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Push Your Luck
Scenario / Mission / Campaign Game
",War ,175,6.95897,,,,$24.16 
Agra ,https://boardgamegeek.com/boardgame/230085/agra,1277,2017,2413,7.29991,6.46081,1.44286,4.3433,268,5167,2,2,4,4,4,78,90,120,"Area Majority / Influence
Trading
Worker Placement
",Strategy ,675,6.60887,,,,$59.49 
Fief: France 1429 ,https://boardgamegeek.com/boardgame/152470/fief-france-1429,1278,2015,2277,7.42501,6.45833,1.70022,3.8113,159,3109,1,4,6,5,6,80,120,240,"Area Majority / Influence
Dice Rolling
Team-Based Game
Trading
Voting
",Strategy ,690,6.5951,,,,Unknown
Brew ,https://boardgamegeek.com/boardgame/332386/brew,1279,2021,3402,7.10351,6.45902,1.24456,2.403,67,7524,1,2,4,3,3,60,45,90,"Area Majority / Influence
Dice Rolling
Open Drafting
Take That
Turn Order: Progressive
Variable Player Powers
",Strategy ,743,6.54209,,,,$29.95 
Tussie Mussie ,https://boardgamegeek.com/boardgame/257614/tussie-mussie,1280,2019,4255,6.94326,6.45703,1.22732,1.125,120,22722,1,1,4,2,2,97,20,30,"Betting and Bluffing
I Cut, You Choose
Open Drafting
Set Collection
",Family ,358,6.55889,,,,Unknown
Thunderbolt Apache Leader ,https://boardgamegeek.com/boardgame/123955/thunderbolt-apache-leader,1281,2012,1339,8.0243,6.45769,1.38981,3.2222,126,3591,2,1,1,1,1,46,90,90,"Area Movement
Hand Management
Hexagon Grid
Simulation
Solo / Solitaire Game
",War ,41,7.41857,,,,$92.88 
Strasbourg ,https://boardgamegeek.com/boardgame/91873/strasbourg,1282,2011,2711,7.15882,6.45693,1.17749,2.733,191,5623,2,3,5,5,5,63,60,60,"Area Majority / Influence
Auction: Once Around
Auction/Bidding
Pattern Building
Tile Placement
",Strategy ,681,6.60289,,,,Unknown
Exit: The Game – The Sunken Treasure ,https://boardgamegeek.com/boardgame/226518/exit-game-sunken-treasure,1283,2017,3403,7.04622,6.45704,1.29141,1.85,60,4214,0,1,3,2,2,39,45,90,"Cooperative Game
",Family ,337,6.58932,,,,$15.95 
A Touch of Evil: The Supernatural Game ,https://boardgamegeek.com/boardgame/35815/touch-evil-supernatural-game,1284,2008,4639,6.97882,6.45643,1.52938,2.563,357,9277,0,1,6,4,4,121,60,120,"Area Movement
Cooperative Game
Dice Rolling
Roll / Spin and Move
Variable Player Powers
",Thematic,299,6.62958,,,,Unknown
It's a Wonderful Kingdom ,https://boardgamegeek.com/boardgame/327711/its-wonderful-kingdom,1285,2021,2499,7.27821,6.45537,1.30958,2.6418,67,9513,2,1,2,2,2,49,45,60,"Betting and Bluffing
I Cut, You Choose
Open Drafting
Solo / Solitaire Game
",Strategy ,702,6.58592,,,,$43.85 
Carcassonne: South Seas ,https://boardgamegeek.com/boardgame/147303/carcassonne-south-seas,1286,2013,3427,7.05971,6.45491,1.18944,1.8859,149,12784,2,2,4,2,3,51,35,35,"Area Majority / Influence
Set Collection
Tile Placement
",Family ,344,6.58073,,,,$177.77 
Agropolis ,https://boardgamegeek.com/boardgame/314088/agropolis,1287,2021,2094,7.37733,6.45521,1.13671,1.7692,52,14204,1,1,2,1,1,49,15,20,"Closed Drafting
Cooperative Game
Layering
Solo / Solitaire Game
Tile Placement
",Strategy ,677,6.60751,,,,Unknown
Cahoots ,https://boardgamegeek.com/boardgame/246761/cahoots,1288,2018,2940,7.13526,6.45417,1.09835,1.1125,80,48206,3,1,4,2,2,59,20,20,"Communication Limits
Cooperative Game
Open Drafting
",Family ,336,6.58952,,,,Unknown
Dead Man's Draw: Captain Carcass ,https://boardgamegeek.com/boardgame/149155/dead-mans-draw-captain-carcass,1289,2015,5527,6.85787,6.45424,1.28565,1.3317,202,40255,0,2,4,4,4,105,15,15,"Push Your Luck
Set Collection
Take That
Variable Player Powers
",Family ,382,6.53154,,,,$20.00 
Betrayal at Baldur's Gate ,https://boardgamegeek.com/boardgame/228660/betrayal-baldurs-gate,1290,2017,3968,7.08806,6.4536,1.44989,2.5692,65,7214,0,3,6,5,5,40,60,60,"Dice Rolling
Map Addition
Modular Board
Role Playing
Storytelling
Team-Based Game
",Thematic,328,6.57153,,,,$103.98 
