Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Navegador ,2010,9056,7.53886,7.17076,1.18137,3.0855,573,20539,Strategy Games,1,2,5,4,4.0,202,,,,
Indonesia ,2005,4534,7.88454,7.17028,1.51951,3.9886,440,10709,Strategy Games,1,3,5,4,4.0,142,,,,
Dungeon Petz ,2011,14545,7.41237,7.16899,1.37063,3.6252,707,27454,Strategy Games,1,2,4,4,4.0,221,Thematic Games,1,,
Marvel United ,2020,9024,7.61259,7.16797,1.37038,1.8139,231,65311,Family Games,1,1,4,3,3.0,158,,,,
Cthulhu Wars ,2015,5782,7.86427,7.16738,1.62451,3.146,274,15816,Strategy Games,1,3,4,4,4.0,149,Thematic Games,1,,
Dice Throne: Season Two – Battle Chest ,2018,4153,8.08881,7.16415,1.36728,2.1389,72,14800,Family Games,1,2,4,2,2.0,47,,,,
Star Realms: Frontiers ,2018,4716,7.94696,7.16403,1.1811,1.8598,107,27090,Strategy Games,1,1,4,2,2.0,83,,,,
Age of Empires III: The Age of Discovery ,2007,10202,7.51547,7.16226,1.36561,3.1258,1057,21945,Strategy Games,1,3,5,4,5.0,329,,,,
Monikers ,2015,5573,7.78027,7.16169,1.46403,1.0833,72,18224,Party Games,1,4,12,6,6.0,40,,,,
Blood on the Clocktower ,2022,3729,8.33297,7.16137,2.0217,2.9384,146,30313,Party Games,1,6,16,8,12.0,125,,,,
Telestrations ,2009,17062,7.38774,7.15971,1.38231,1.069,435,66382,Party Games,1,5,8,8,8.0,208,,,,
Space Alert ,2008,15849,7.39947,7.15951,1.57493,2.9691,808,63818,Thematic Games,1,3,5,4,5.0,347,,,,
Onitama ,2014,21003,7.3593,7.1594,1.2397,1.6588,340,101707,Abstract Games,1,2,2,2,2.0,131,,,,
Nemo's War (Second Edition) ,2017,5023,7.85892,7.15714,1.34689,3.2658,237,13016,Thematic Games,1,1,1,1,1.0,158,,,,
Imperial Settlers ,2014,23916,7.32981,7.15409,1.30609,2.7685,894,85036,Strategy Games,1,1,4,2,2.0,492,,,,
Fury of Dracula (Third/Fourth Edition) ,2015,14095,7.44092,7.15248,1.43887,3.277,343,17401,Thematic Games,1,2,5,3,3.0,248,,,,
Glass Road ,2013,11161,7.45424,7.15188,1.20978,2.9512,553,41492,Strategy Games,1,1,4,2,2.0,270,,,,
Oath: Chronicles of Empire and Exile ,2021,6090,7.82862,7.14728,1.79552,4.095,516,13618,Strategy Games,1,3,5,4,4.0,210,Thematic Games,1,,
Summoner Wars: Master Set ,2011,10932,7.48509,7.14444,1.48561,2.5223,404,31724,Customizable Games,1,2,2,2,2.0,112,Strategy Games,1,,
Imperial 2030 ,2009,6636,7.65556,7.14297,1.47587,3.5038,391,10581,Strategy Games,1,3,6,4,4.0,179,,,,
Bitoku ,2021,4881,7.88228,7.14261,1.33503,3.7276,290,13560,Strategy Games,1,1,4,3,3.0,152,,,,
Great Western Trail: Argentina ,2022,2418,8.51505,7.14255,1.17531,3.8889,99,7866,Strategy Games,1,1,4,3,3.0,59,,,,
Runewars ,2010,8276,7.61494,7.13951,1.5198,3.791,646,11459,Strategy Games,1,2,4,4,4.0,242,Thematic Games,1,,
Aeon's End: The New Age ,2019,2451,8.55819,7.1388,1.2092,2.9298,57,12888,Strategy Games,1,1,4,2,2.0,59,,,,
Alien Frontiers ,2010,15059,7.36799,7.13823,1.31588,2.5667,854,41664,Strategy Games,1,2,4,3,4.0,312,,,,
Return to Dark Tower ,2022,3333,8.29503,7.13735,1.48898,2.6333,90,10502,Thematic Games,1,1,4,4,4.0,69,,,,
Arkham Horror (Third Edition) ,2018,8566,7.69854,7.13669,1.54546,3.3449,287,23166,Thematic Games,1,1,4,3,3.0,216,,,,
Heaven & Ale ,2017,8246,7.54834,7.13628,1.17223,3.2101,276,26683,Strategy Games,1,2,4,4,4.0,173,,,,
Century: Spice Road ,2017,24271,7.31547,7.13617,1.22853,1.7959,588,109324,Family Games,1,2,5,3,4.0,289,,,,
The King's Dilemma ,2019,5266,7.80226,7.13369,1.63387,2.2357,140,36685,Thematic Games,1,4,5,5,5.0,130,,,,
Tikal ,1999,19746,7.32886,7.13354,1.19166,2.7834,1556,37024,Strategy Games,1,2,4,4,4.0,322,,,,
Bruges ,2013,11460,7.42707,7.13335,1.274,2.7486,549,41824,Strategy Games,1,2,4,3,3.0,175,,,,
